"id","code","name","account_type","reconcile","note","name@sv_SE","tax_ids"
"a127","127","Byggnadsinventarier i annans fastighet","liability_non_current",False,"På detta konto redovisas anskaffningsvärdet för byggnads- och markinventarier samt andra inventarier i annans fastighet. Nedskrivningar samt planenliga avskrivningar krediteras underkonto:","Byggnadsinventarier i annans fastighet",""
"a1278","1278","Ackumulerade nedskrivningar, byggnadsinventarier i annans fastighet","liability_non_current",False,"Motkonto • 795 Nedskrivning av immateriella och materiella anläggningstillgångar • 796 Återföring av nedskrivning av immateriella och materiella anläggningstillgångar","Ackumulerade nedskrivningar, byggnadsinventarier i annans fastighet",""
"a1279","1279","Ackumulerade avskrivningar, byggnadsinventarier i annans fastighet","liability_non_current",False,"Motkonto • 793 Avskrivning på maskiner och inventarier","Ackumulerade avskrivningar, byggnadsinventarier i annans fastighet",""
"a128","128","Konst","liability_non_current",False,"På kontot redovisas inventarier som utgörs av konstföremål som tavlor, skulpturer och dylikt med obegränsad nyttjandeperiod. Bokför inte på kontot • Konst som är en fast del av byggnadens konstruktion redovisas på fastigheten i kontogrupp 11.","Konst",""
"a129","129","Övriga maskiner och inventarier","liability_non_current",False,"På detta konto redovisas andra maskiner och inventarier än de som omfattas av konto 121–128. Nedskrivningar samt planenliga avskrivningar krediteras underkonto:","Övriga maskiner och inventarier",""
"a1298","1298","Ackumulerade nedskrivningar, övriga maskiner och inventarier","liability_non_current",False,"Motkonto • 795 Nedskrivning av immateriella och materiella anläggningstillgångar • 796 Återföring av nedskrivning av immateriella och materiella anläggningstillgångar","Ackumulerade nedskrivningar, övriga maskiner och inventarier",""
"a1299","1299","Ackumulerade avskrivningar, övriga maskiner och inventarier","liability_non_current",False,"Motkonto • 793 Avskrivning på maskiner och inventarier","Ackumulerade avskrivningar, övriga maskiner och inventarier",""
"a132","132","Aktier och andelar","liability_non_current",False,"På detta konto redovisas aktier och andelar som stadigvarande innehas. Aktier och andelar i kommunens koncernföretag bör särredovisas. Aktier och andelar som förvärvats för kortfristig placering redovisas i förekommande fall på konto 182. Aktier och andelar efterfrågas av SCB i RS tillsammans med konto 137 Bostadsrätter. Även aktier och andelar i kommunens koncernföretag efterfrågas av SCB i RS.","Aktier och andelar",""
"a1321","1321","Aktier och andelar i kommunens koncernföretag","liability_non_current",False,"Aktier och andelar i kommunens koncernföretag efterfrågas av SCB i RS.","Aktier och andelar i kommunens koncernföretag",""
"a1329","1329","Värdereglering aktier och andelar","liability_non_current",False,"Motkonto • 8439 Återföring av värdereglering, finansiella anläggningstillgångar • 8519 Värdereglering, finansiella anläggningstillgångar","Värdereglering aktier och andelar",""
