id,name,description,invoice_label,amount,type_tax_use,tax_group_id/id,repartition_line_ids/repartition_type,repartition_line_ids/document_type,repartition_line_ids/tag_ids,repartition_line_ids/account_id,repartition_line_ids/factor_percent
,,,,,,,tax,refund,,,100
,,,,,,,tax,refund,,,100
mbbui2,MBBUI2,"Beskattningsunderlag vid import, 12%",,12,purchase,l10n_se_extended.tax_group_25,base,invoice,,,100
,,,,,,,tax,invoice,,2645 Beräknad ingående moms på förvärv från utlandet,100
,,,,,,,tax,invoice,,"2625 Utgående moms import av varor, 12 %",100
,,,,,,,base,refund,,,100
,,,,,,,tax,refund,,,100
,,,,,,,tax,refund,,,100
mbbui3,MBBUI3,"Beskattningsunderlag vid import, 6%",,6,purchase,l10n_se_extended.tax_group_25,base,invoice,,,100
,,,,,,,tax,invoice,,2645 Beräknad ingående moms på förvärv från utlandet,100
,,,,,,,tax,invoice,,"2635 Utgående moms import av varor, 6 %",100
,,,,,,,base,refund,,,100
,,,,,,,tax,refund,,,100
,,,,,,,tax,refund,,,100
u1mbbui,U1MBBUI,Utgående moms 25%,,25,sale,l10n_se_extended.tax_group_25,base,invoice,,,100
,,,,,,,tax,invoice,,"2615 Utgående moms import av varor, 25 %",100
,,,,,,,base,refund,,,100
,,,,,,,tax,refund,,,100
u2mbbui,U2MBBUI,Utgående moms 12%,,12,sale,l10n_se_extended.tax_group_25,base,invoice,,,100
,,,,,,,tax,invoice,,"2625 Utgående moms import av varor, 12 %",100
,,,,,,,base,refund,,,100
,,,,,,,tax,refund,,,100
u3mbbui,U3MBBUI,Utgående moms 6%,,6,sale,l10n_se_extended.tax_group_25,base,invoice,,,100
,,,,,,,tax,invoice,,"2635 Utgående moms import av varor, 6 %",100
,,,,,,,base,refund,,,100
,,,,,,,tax,refund,,,100
vteu,VTEU,Försäljning av varor till annat EU-land,,0,sale,l10n_se_extended.tax_group_25,base,invoice,,,100
,,,,,,,tax,invoice,,,100
,,,,,,,base,refund,,,100
,,,,,,,tax,refund,,,100
e,E,Försäljning av varor till utanför EU,,0,sale,l10n_se_extended.tax_group_25,base,invoice,,,100
,,,,,,,tax,invoice,,,100
,,,,,,,base,refund,,,100
,,,,,,,tax,refund,,,100
3veu,3VEU,Mellanmans inköp av varor vid trepartshandel,,0,purchase,l10n_se_extended.tax_group_25,base,invoice,,,100
,,,,,,,tax,invoice,,,100
,,,,,,,base,refund,,,100
,,,,,,,tax,refund,,,100
