id,code,name,account_type,reconcile,name@sv_SE
a1860,1860,"Andelar i koncernföretag, kortfristigt",asset_non_current,False,"Andelar i koncernföretag, kortfristigt"
a1880,1880,Andra kortfristiga placeringar,asset_current,False,Andra kortfristiga placeringar
a1886,1886,Derivat,asset_current,False,Derivat
a1889,1889,Andelar i övriga företag,asset_current,False,Andelar i övriga företag
a1890,1890,Nedskrivning av kortfristiga placeringar,asset_current,False,Nedskrivning av kortfristiga placeringar
a1911,1911,Huvudkassa,asset_cash,False,Huvudkassa
a1912,1912,Kassa 2,asset_cash,False,Kassa 2
a1913,1913,Kassa 3,asset_cash,False,Kassa 3
a1940,1940,Övriga bankkonton,asset_cash,False,Övriga bankkonton
a1950,1950,Bankcertifikat,asset_cash,False,Bankcertifikat
a1960,1960,Koncernkonto moderföretag,asset_cash,False,Koncernkonto moderföretag
a1970,1970,Särskilda bankkonton,asset_cash,False,Särskilda bankkonton
a1972,1972,Upphovsmannakonto,asset_cash,False,Upphovsmannakonto
a1973,1973,Skogskonto,asset_cash,False,Skogskonto
a1974,1974,Spärrade bankmedel,asset_cash,False,Spärrade bankmedel
a1979,1979,Övriga särskilda bankkonton,asset_cash,False,Övriga särskilda bankkonton
a1980,1980,Valutakonton,asset_cash,False,Valutakonton
a1990,1990,Redovisningsmedel,asset_cash,False,Redovisningsmedel
a2010,2010,"Eget kapital, delägare 1",equity,False,"Eget kapital, delägare 1"
a2011,2011,Egna varuuttag,equity,False,Egna varuuttag
a2013,2013,Övriga egna uttag,equity,False,Övriga egna uttag
a2017,2017,Årets kapitaltillskott,equity,False,Årets kapitaltillskott
a2018,2018,Övriga egna insättningar,equity,False,Övriga egna insättningar
a2019,2019,"Årets resultat, delägare 1",equity,False,"Årets resultat, delägare 1"
a2020,2020,"Eget kapital, delägare 2",equity,False,"Eget kapital, delägare 2"
a2030,2030,"Eget kapital, delägare 3",equity,False,"Eget kapital, delägare 3"
a2040,2040,"Eget kapital, delägare 4",equity,False,"Eget kapital, delägare 4"
a2050,2050,Avsättning till expansionsfond,equity,False,Avsättning till expansionsfond
a2060,2060,"Eget kapital i ideella föreningar, stiftelser och registrerade trossamfund",equity,False,"Eget kapital i ideella föreningar, stiftelser och registrerade trossamfund"
a2061,2061,Eget kapital/stiftelsekapital/grundkapital,equity,False,Eget kapital/stiftelsekapital/grundkapital
a2065,2065,Förändring i fond för verkligt värde,equity,False,Förändring i fond för verkligt värde
a2066,2066,Värdesäkringsfond,equity,False,Värdesäkringsfond
